NRO,DISTRITO,DENOMINACION,Tipo de Partido,A¤o de recononimiento,N§ de Afiliados,Carta Org nica.,,Senadores P,Diputados P.,Intendente,Concejales 
807,DEL PILAR,SUMEMOS PILAR,Agrupaci¢n Municipal,07/12/2016,987,,,,,,
833,DEL PILAR,ENCUENTRO PILARENSE,Agrupaci¢n Municipal,29/05/2017,991,,,,,,
839,DEL PILAR,ACCION POR PILAR,Agrupaci¢n Municipal,30/05/2017,1016,,,,,,
874,DEL PILAR,JUNTOS POR PILAR,Agrupaci¢n Municipal,17/05/2019,1032,,,,,,
635,ESCOBAR,ACCION VECINAL ESCOBAR ES POSIBLE,Agrupaci¢n Municipal,30/07/2007,749,,,,,,
820,ESCOBAR,PROYECTO ESCOBAR,Agrupaci¢n Municipal,15/05/2017,771,,,,,,
861,ESCOBAR,ACCION COMUNAL- EL PARTIDO DE ESCOBAR,Agrupaci¢n Municipal,16/04/2019,776,,,,,,
690,ESTEBAN ECHEVERRIA,ALTERNATIVA VECINALISTA,Agrupaci¢n Municipal,27/04/2009,1076,,,,,,
871,ESTEBAN ECHEVERRIA,CREER DE ESTEBAN ECHEVERRIA,Agrupaci¢n Municipal,10/05/2019,954,,,,,,
110,EXALTACION DE LA CRUZ,DEFENSA COMUNAL DE EXALTACION DE LA CRUZ,Agrupaci¢n Municipal,19/05/1983,255,,,,,,
658,EXALTACION DE LA CRUZ,FUTURO EXALTACION,Agrupaci¢n Municipal,06/02/2009,294,,,,,,
832,GENERAL BELGRANO,ACUERDO BELGRANENSE,Agrupaci¢n Municipal,29/05/2017,252,,,,,,
859,GENERAL BELGRANO,AGRUPACION BELGRANO PRIMERO,Agrupaci¢n Municipal,29/03/2019,250,,,,,,
854,GENERAL LAS HERAS,AGRUPACION MUNICIPAL MI PUEBLO,Agrupaci¢n Municipal,13/02/2019,253,,,,,,
780,GENERAL MADARIAGA,SUMAR MADARIAGA,Agrupaci¢n Municipal,06/05/2015,277,,,,,,
109,GENERAL PAZ,DEFENSA COMUNAL DE GENERAL PAZ,Agrupaci¢n Municipal,19/05/1983,300,,,,,,
364,GENERAL PUEYRREDON,ACCION MARPLATENSE,Agrupaci¢n Municipal,30/07/1997,2294,,,,,,
585,GENERAL PUEYRREDON,CONCERTACION VECINAL,Agrupaci¢n Municipal,06/06/2007,2302,,,,,,
752,GENERAL PUEYRREDON,AGRUPACION ATLANTICA,Agrupaci¢n Municipal,30/05/2013,2355,,,,,,
848,GENERAL PUEYRREDON,MAR DEL PLATA PUERTO Y REGION,Agrupaci¢n Municipal,12/06/2017,2187,,,,,,
787,GENERAL RODRIGUEZ,SOMOS RODRIGUEZ,Agrupaci¢n Municipal,14/05/2015,306,,,,,,
482,GENERAL SAN MARTIN,HONESTIDAD Y TRABAJO,Agrupaci¢n Municipal,09/04/2003,1524,,,,,,
592,GENERAL SAN MARTIN,ACCION VECINAL POR UN SAN MARTIN DISTINTO,Agrupaci¢n Municipal,28/06/2007,1380,,,,,,
853,GENERAL SAN MARTIN,SOMOS SAN MARTIN,Agrupaci¢n Municipal,13/02/2019,1541,,,,,,
319,GUAMINI,UNION VECINAL DE GUAMINI,Agrupaci¢n Municipal,26/07/1993,251,,,,,,
808,ITUZAINGO,SIEMPRE ITUZAINGO,Agrupaci¢n Municipal,07/12/2016,581,,,,,,
886,ITUZAINGO,AGRUPACION MUNICIPAL ITUZAINGO POSITIVO,Agrupaci¢n Municipal,31/05/2019,582,,,,,,
827,JUNIN,JUNIN BICENTENARIO,Agrupaci¢n Municipal,22/05/2017,323,,,,,,
754,LA PLATA,UNION DEL PUEBLO LA PLATA (U.D.P),Agrupaci¢n Municipal,02/06/2013,2199,,,,,,
756,LA PLATA,ALTERNATIVA VECINAL PLATENSE,Agrupaci¢n Municipal,02/06/2013,2253,,,,,,
762,LA PLATA,AGRUPACION MUNICIPAL PATRIA GRANDE,Agrupaci¢n Municipal,02/06/2013,2163,,,,,,
834,LA PLATA,UNION VECINALISTA PLATENSE,Agrupaci¢n Municipal,29/05/2017,2280,,,,,,
837,LAS FLORES,TODOS POR LAS FLORES,Agrupaci¢n Municipal,29/05/2017,278,,,,,,
882,LINCOLN,ACCION POR LINCOLN,Agrupaci¢n Municipal,17/05/2019,274,,,,,,
334,LOBOS,UNION VECINAL CONSERVADORA DE LOBOS,Agrupaci¢n Municipal,22/02/1995,251,,,,,,
868,LOBOS,AGRUPACION MUNICIPAL PRIMERO LOBOS,Agrupaci¢n Municipal,10/05/2019,255,,,,,,
119,LUJAN,UNION VECINAL,Agrupaci¢n Municipal,16/11/1972,389,,,,,,
741,LUJAN,MAREA POPULAR,Agrupaci¢n Municipal,29/05/2013,368,,,,,,
884,LUJAN,SOMOS LUJAN,Agrupaci¢n Municipal,31/05/2019,391,,,,,,
888,MAR CHIQUITA,UNIDAD Y ACCION POR MAR CHIQUITA,Agrupaci¢n Municipal,31/05/2019,250,,,,,,
586,MARCOS PAZ,CONCERTACION POR MARCOS PAZ,Agrupaci¢n Municipal,06/06/2007,265,,,,,,
738,MERCEDES,MERCEDES INDEPENDIENTE COMUNAL,Agrupaci¢n Municipal,08/05/2013,294,,,,,,
829,MERCEDES,AGRUPACION 25 DE MAYO MERCEDES,Agrupaci¢n Municipal,22/05/2017,475,,,,,,
821,MERLO,AGRUPACION VECINALISTA PROYECTO LOCAL MERLENSE,Agrupaci¢n Municipal,15/05/2017,1635,,,,,,
811,MORENO,MORENO VIVE,Agrupaci¢n Municipal,07/04/2017,1460,,,,,,
845,MORENO,UNION DEL PUEBLO DE MORENO,Agrupaci¢n Municipal,12/06/2017,1409,,,,,,
860,MORENO,ENCUENTRO VECINAL EN ACCION DE MORENO,Agrupaci¢n Municipal,29/03/2019,1419,,,,,,
450,MORON,NUEVO MORON,Agrupaci¢n Municipal,30/10/2002,1142,,,,,,
836,NECOCHEA,VALORES PARA MI PAIS NECOCHEA,Agrupaci¢n Municipal,29/05/2017,344,,,,,,
869,NECOCHEA,AGRUPACION COMUNAL TRANSFORMADORA (A.C.T.),Agrupaci¢n Municipal,10/05/2019,348,,,,,,
863,NUEVE DE JULIO,9 DE JULIO PARA TODOS,Agrupaci¢n Municipal,26/04/2019,283,,,,,,
828,OLAVARRIA,POR OLAVARRIA TODOS,Agrupaci¢n Municipal,22/05/2017,458,,,,,,
822,PARTIDO DE LA COSTA,COMPROMISO VECINAL LA COSTA,Agrupaci¢n Municipal,15/05/2017,274,,,,,,
873,PARTIDO DE LA COSTA,A TODA COSTA,Agrupaci¢n Municipal,17/05/2019,291,,,,,,
734,PARTIDO DE PINAMAR,VIENTOS DEL SUR (VI-SUR),Agrupaci¢n Municipal,18/04/2013,317,,,,,,
737,PARTIDO DE PINAMAR,PROPUESTA PINAMAR,Agrupaci¢n Municipal,08/05/2013,319,,,,,,
774,PARTIDO DE PINAMAR,VECINOS EN ACCION PINAMAR,Agrupaci¢n Municipal,23/04/2015,276,,,,,,
856,PARTIDO DE VILLA GESELL,ACTITUD POSITIVA DEL PARTIDO DE VILLA GESELL,Agrupaci¢n Municipal,21/02/2019,274,,,,,,
615,PERGAMINO,INTEGRACION CIVICA PERGAMINENSE,Agrupaci¢n Municipal,26/07/2007,364,,,,,,
660,PERGAMINO,DIALOGO PERGAMINENSE,Agrupaci¢n Municipal,31/03/2009,365,,,,,,
840,PERGAMINO,VALORES PARA MI PAIS PERGAMINO,Agrupaci¢n Municipal,30/05/2017,342,,,,,,
843,PERGAMINO,NUEVO PERGAMINO,Agrupaci¢n Municipal,30/05/2017,373,,,,,,
746,PRESIDENTE PERON,AGRUPACION RENOVADORA GUERNIQUENSE,Agrupaci¢n Municipal,29/05/2013,311,,,,,,
850,PRESIDENTE PERON,AGRUPACION COMPROMISO VECINAL DE PRESIDENTE PERON,Agrupaci¢n Municipal,21/12/2018,312,,,,,,
877,PRESIDENTE PERON,BASE CIUDADANA,Agrupaci¢n Municipal,17/05/2019,290,,,,,,
